,uniq_id,description,category,description_tokenized,image_path
0,55b85ea15a1536d46b7190ad6fff8ce7,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester",Home Furnishing,"['key', 'feature', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'cm', 'height', 'pack', 'price', 'r', 'curtain', 'enhances', 'look', 'interior', 'curtain', 'made', 'high', 'quality', 'polyester', 'fabric', 'feature', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environment', 'romantic', 'loving', 'curtain', 'ant', 'wrinkle', 'anti', 'shrinkage', 'elegant', 'apparance', 'give', 'home', 'bright', 'modernistic', 'appeal', 'design', 'surreal', 'attention', 'sure', 'steal', 'heart', 'contemporary', 'eyelet', 'valance', 'curtain', 'slide', 'smoothly', 'draw', 'apart', 'first', 'thing', 'morning', 'welcome', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'morning', 'whole', 'world', 'draw', 'close', 'evening', 'create', 'special', 'moment', 'joyous', 'beauty', 'given', 'soothing', 'print', 'bring', 'home', 'elegant', 'curtain', 'softly', 'filter', 'light', 'room', 'get', 'right', 'amount', 'sunlight', 'specification', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'cm', 'height', 'pack', 'general', 'brand', 'elegance', 'designed', 'door', 'type', 'eyelet', 'model', 'name', 'abstract', 'polyester', 'door', 'curtain', 'set', 'model', 'id', 'duster', 'color', 'multicolor', 'dimension', 'length', 'cm', 'box', 'number', 'content', 'sale', 'package', 'pack', 'sale', 'package', 'curtain', 'body', 'design', 'material', 'polyester']",Images/55b85ea15a1536d46b7190ad6fff8ce7.jpg
1,7b72c92c2f6c40268628ec5f14c6d590,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel",Baby Care,"['specification', 'sathiyas', 'cotton', 'bath', 'towel', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'feature', 'machine', 'washable', 'yes', 'material', 'cotton', 'design', 'self', 'design', 'general', 'brand', 'sathiyas', 'type', 'bath', 'towel', 'gsm', 'model', 'name', 'sathiyas', 'cotton', 'bath', 'towel', 'ideal', 'men', 'woman', 'boy', 'girl', 'model', 'id', 'asvtwl', 'color', 'red', 'yellow', 'blue', 'size', 'mediam', 'dimension', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'package', 'sale', 'package', 'bath', 'towel']",Images/7b72c92c2f6c40268628ec5f14c6d590.jpg
2,64d5d4a258243731dc7bbb1eef49ad74,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET",Baby Care,"['key', 'feature', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', 'size', 'small', 'height', 'inch', 'gsm', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', 'piece', 'face', 'towel', 'set', 'assorted', 'price', 'r', 'eurospa', 'brings', 'exclusively', 'designed', 'soft', 'cotton', 'towel', 'export', 'quality', 'product', 'soft', 'texture', 'take', 'care', 'skin', 'give', 'enriched', 'feeling', 'deserve', 'eurospa', 'exporting', 'bath', 'towel', 'lot', 'renowned', 'brand', 'last', 'year', 'famous', 'fine', 'print', 'absorbency', 'softness', 'durability', 'note', 'product', 'cotton', 'susceptible', 'shrinkage', 'product', 'color', 'may', 'vary', 'picture', 'size', 'may', 'vary', 'wash', 'care', 'wash', 'cold', 'water', 'iron', 'bleach', 'flat', 'dry', 'wash', 'first', 'use', 'size', 'face', 'towel', 'cm', 'cm', 'specification', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', 'piece', 'face', 'towel', 'set', 'assorted', 'bath', 'towel', 'feature', 'material', 'cotton', 'terry', 'design', 'shuvam', 'general', 'brand', 'eurospa', 'gsm', 'type', 'face', 'towel', 'set', 'model', 'name', 'shuvam', 'pcftsetassorted', 'ideal', 'boy', 'girl', 'men', 'woman', 'model', 'id', 'shuvam', 'pcftsetassorted', 'size', 'small', 'color', 'assorted', 'dimension', 'weight', 'length', 'inch', 'width', 'inch', 'box', 'number', 'content', 'sale', 'package', 'sale', 'package', 'piece', 'face', 'towel', 'set']",Images/64d5d4a258243731dc7bbb1eef49ad74.jpg
3,d4684dcdc759dd9cdf41504698d737d8,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover",Home Furnishing,"['key', 'feature', 'santosh', 'royal', 'fashion', 'cotton', 'printed', 'king', 'sized', 'double', 'bedsheet', 'royal', 'bedsheet', 'perfact', 'wedding', 'gifting', 'specification', 'santosh', 'royal', 'fashion', 'cotton', 'printed', 'king', 'sized', 'double', 'bedsheet', 'bedsheet', 'pillow', 'cover', 'multicolor', 'general', 'brand', 'santosh', 'royal', 'fashion', 'machine', 'washable', 'yes', 'type', 'flat', 'material', 'cotton', 'model', 'name', 'gold', 'design', 'royal', 'cotton', 'printed', 'wedding', 'gifted', 'double', 'bedsheet', 'pillow', 'cover', 'model', 'id', 'goldbedi', 'color', 'multicolor', 'size', 'king', 'fabric', 'care', 'machine', 'wash', 'bleach', 'dimension', 'flat', 'sheet', 'width', 'inch', 'cm', 'fitted', 'sheet', 'width', 'cm', 'pillow', 'cover', 'width', 'inch', 'cm', 'pillow', 'cover', 'length', 'inch', 'cm', 'fitted', 'sheet', 'depth', 'cm', 'fitted', 'sheet', 'length', 'cm', 'flat', 'sheet', 'depth', 'cm', 'flat', 'sheet', 'length', 'inch', 'cm', 'box', 'number', 'content', 'sale', 'package', 'sale', 'package', 'bedsheet', 'pillow', 'cover']",Images/d4684dcdc759dd9cdf41504698d737d8.jpg
4,6325b6870c54cd47be6ebfbffa620ec7,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover",Home Furnishing,"['key', 'feature', 'jaipur', 'print', 'cotton', 'floral', 'king', 'sized', 'double', 'bedsheet', 'cotton', 'jaipur', 'print', 'cotton', 'floral', 'king', 'sized', 'double', 'bedsheet', 'bed', 'sheet', 'pillow', 'cover', 'white', 'price', 'r', 'nice', 'bed', 'sheet', 'made', 'cotton', 'give', 'comfort', 'bed', 'sheet', 'hand', 'printed', 'bedsheet', 'give', 'nice', 'look', 'room', 'fast', 'colour', 'good', 'quality', 'give', 'bedsheet', 'long', 'life', 'specification', 'jaipur', 'print', 'cotton', 'floral', 'king', 'sized', 'double', 'bedsheet', 'bed', 'sheet', 'pillow', 'cover', 'white', 'general', 'machine', 'washable', 'yes', 'brand', 'jaipur', 'print', 'type', 'flat', 'model', 'name', 'jaipur', 'material', 'cotton', 'thread', 'count', 'model', 'id', 'jaipur', 'fabric', 'care', 'machinewash', 'bleach', 'size', 'king', 'color', 'white', 'warranty', 'waranty', 'product', 'manufacturing', 'defect', 'product', 'exchange', 'onle', 'used', 'returne', 'origional', 'packing', 'dimension', 'flat', 'sheet', 'width', 'inch', 'cm', 'fitted', 'sheet', 'width', 'cm', 'pillow', 'cover', 'width', 'inch', 'cm', 'pillow', 'cover', 'length', 'inch', 'cm', 'weight', 'fitted', 'sheet', 'depth', 'cm', 'fitted', 'sheet', 'length', 'cm', 'flat', 'sheet', 'depth', 'cm', 'flat', 'sheet', 'length', 'inch', 'cm', 'box', 'number', 'content', 'sale', 'package', 'sale', 'package', 'bed', 'sheet', 'pillow', 'cover']",Images/6325b6870c54cd47be6ebfbffa620ec7.jpg
5,893aa5ed55f7cff2eccea7758d7a86bd,"Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,"['maserati', 'time', 'analog', 'watch', 'boy', 'buy', 'maserati', 'time', 'analog', 'watch', 'boy', 'online', 'r', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",Images/893aa5ed55f7cff2eccea7758d7a86bd.jpg
6,f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,"['camerii', 'wm', 'elegance', 'analog', 'watch', 'men', 'boy', 'buy', 'camerii', 'wm', 'elegance', 'analog', 'watch', 'men', 'boy', 'wm', 'online', 'r', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",Images/f355cc1ccb08bd0d283ed979b7ee7515.jpg
7,dd0e3470a7e6ed76fd69c2da27721041,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.",Watches,"['star', 'uft', 'tsw', 'bk', 'br', 'analog', 'watch', 'boy', 'price', 'r', 'whether', 'way', 'work', 'travelling', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'designed', 'finished', 'timepiece', 'separate', 'rest', 'whether', 'way', 'work', 'travelling', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'designed', 'finished', 'timepiece', 'separate', 'rest']",Images/dd0e3470a7e6ed76fd69c2da27721041.jpg
8,41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,"['alfajr', 'wy', 'youth', 'digital', 'watch', 'men', 'boy', 'buy', 'alfajr', 'wy', 'youth', 'digital', 'watch', 'men', 'boy', 'wy', 'online', 'r', 'india', 'flipkart', 'com', 'azan', 'time', 'city', 'around', 'world', 'prayer', 'reminder', 'qibla', 'direction', 'hijri', 'gregorian', 'calnedars', 'qur', 'bookmark', 'daily', 'alrams', 'great', 'discount', 'genuine', 'product', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",Images/41384da51732c0b4df3de8f395714fbb.jpg
9,710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,"['tag', 'heuer', 'cau', 'ba', 'formula', 'analog', 'watch', 'boy', 'men', 'buy', 'tag', 'heuer', 'cau', 'ba', 'formula', 'analog', 'watch', 'boy', 'men', 'cau', 'ba', 'online', 'r', 'india', 'flipkart', 'com', 'swiss', 'made', 'quartz', 'movement', 'scratch', 'resistant', 'sapphire', 'crystal', 'glass', 'water', 'resistant', 'metre', 'feature', 'chronograph', 'great', 'discount', 'genuine', 'product', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",Images/710ed5f2393a4b9e8823aa0029f71f93.jpg
